target_date,vintage,generated_at,analog_date,analog_date_2,hour,predicted_lmp,p10,p90,analog_lmp,analog_lmp_2,band_err
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,1,2.21,-8.95,16.43,8.5,5.59,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,2,2.85,-8.27,16.5,12.49,-1.65,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,3,3.71,-8.85,16.93,9.68,-4.11,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,4,6.51,-4.11,17.3,-7.8,-0.25,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,5,4.49,-3.81,16.77,-0.84,8.81,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,6,5.84,-7.82,20.76,5.24,2.92,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,7,6.63,-17.44,20.64,17.53,9.76,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,8,3.32,-16.52,16.38,30.47,10.48,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,9,4.55,-8.19,17.2,-0.01,-0.15,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,10,8.43,5.34,17.4,2.44,5.9,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,11,9.5,1.52,16.16,-15.46,7.7,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,12,7.78,4.57,18.59,-6.67,12.09,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,13,6.17,6.17,17.07,-7.03,5.97,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,14,6.94,6.94,17.96,-7.98,7.81,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,15,6.12,3.84,14.17,-30.69,2.56,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,16,-0.48,-16.71,13.27,-22.52,-4.05,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,17,0.73,-19.06,14.57,-79.67,-20.53,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,18,1.88,-24.68,18.8,-23.03,-157.47,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,19,-0.86,-50.0,29.89,39.43,20.42,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,20,-3.11,-42.03,22.11,26.3,18.75,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,21,0.07,-22.33,13.8,11.65,15.46,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,22,2.68,-17.83,13.32,9.37,6.74,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,23,4.9,-3.01,15.6,6.98,10.71,
2026-09-24,post_dam,2026-09-23T22:23:53.553194+00:00,2025-10-01,2025-10-02,24,6.76,-1.52,16.86,10.53,4.71,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,1,9.68,1.14,20.24,8.5,5.59,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,2,8.43,-0.44,20.08,12.49,-1.65,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,3,9.08,-1.98,19.21,9.68,-4.11,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,4,9.33,-1.81,18.91,-7.8,-0.25,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,5,8.51,0.66,16.55,-0.84,8.81,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,6,1.36,-3.92,15.84,5.24,2.92,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,7,5.32,-7.42,15.07,17.53,9.76,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,8,2.38,-11.28,14.23,30.47,10.48,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,9,4.57,-6.85,15.29,-0.01,-0.15,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,10,10.34,1.28,16.05,2.44,5.9,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,11,9.88,-1.36,14.97,-15.46,7.7,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,12,8.67,0.78,16.59,-6.67,12.09,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,13,8.41,7.41,15.54,-7.03,5.97,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,14,4.84,4.84,14.99,-7.98,7.81,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,15,3.92,3.92,12.72,-30.69,2.56,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,16,2.03,-11.15,10.96,-22.52,-4.05,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,17,0.36,-15.25,13.71,-79.67,-20.53,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,18,0.77,-30.31,22.81,-23.03,-157.47,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,19,1.61,-28.98,24.2,39.43,20.42,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,20,0.68,-27.78,19.79,26.3,18.75,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,21,-0.14,-22.95,13.82,11.65,15.46,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,22,0.25,-17.81,10.77,9.37,6.74,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,23,5.72,0.93,13.98,6.98,10.71,
2026-09-24,pre_dam,2026-09-23T13:01:43.055162+00:00,2025-10-01,2025-10-02,24,6.49,1.34,15.08,10.53,4.71,
2026-09-25,post_dam,2026-09-24T22:34:50.452200+00:00,2025-10-03,2025-08-27,1,7.04,2.2,13.99,0.85,11.09,
2026-09-25,post_dam,2026-09-24T22:34:50.452200+00:00,2025-10-03,2025-08-27,2,4.48,-0.69,14.3,-0.66,10.42,
2026-09-25,post_dam,2026-09-24T22:34:50.452200+00:00,2025-10-03,2025-08-27,3,4.77,-1.06,12.38,-1.39,6.69,
2026-09-25,post_dam,2026-09-24T22:34:50.452200+00:00,2025-10-03,2025-08-27,4,5.49,-0.49,13.08,2.85,1.81,
2026-09-25,post_dam,2026-09-24T22:34:50.452200+00:00,2025-10-03,2025-08-27,5,2.85,-4.42,10.57,0.53,-5.43,
2026-09-25,post_dam,2026-09-24T22:34:50.452200+00:00,2025-10-03,2025-08-27,6,2.25,-17.69,11.1,-45.97,-4.75,
2026-09-25,post_dam,2026-09-24T22:34:50.452200+00:00,2025-10-03,2025-08-27,7,3.89,-16.02,14.06,-93.72,-4.03,
2026-09-25,post_dam,2026-09-24T22:34:50.452200+00:00,2025-10-03,2025-08-27,8,-1.42,-21.44,10.94,-23.26,2.47,
2026-09-25,post_dam,2026-09-24T22:34:50.452200+00:00,2025-10-03,2025-08-27,9,0.73,-15.39,11.2,-5.64,9.43,
2026-09-25,post_dam,2026-09-24T22:34:50.452200+00:00,2025-10-03,2025-08-27,10,1.85,-9.94,8.25,-56.22,6.95,
2026-09-25,post_dam,2026-09-24T22:34:50.452200+00:00,2025-10-03,2025-08-27,11,-1.63,-11.18,6.77,0.66,5.22,
2026-09-25,post_dam,2026-09-24T22:34:50.452200+00:00,2025-10-03,2025-08-27,12,-2.7,-13.61,8.16,-2.67,4.46,
2026-09-25,post_dam,2026-09-24T22:34:50.452200+00:00,2025-10-03,2025-08-27,13,-1.1,-9.64,8.56,4.1,5.44,
